fg_pct_home,pts_home,elo_home,ast_away,elo_away
0.55,117.0,1474.8123137551036,31.0,1652.547934216146
0.5,133.0,1486.6096310016237,27.5,1581.452073465638
0.45,91.0,1537.163035240561,14.0,1630.9959626070472
0.44,96.5,1558.282827588172,18.0,1450.5230969512804
0.47,100.33,1559.3367631645776,18.0,1649.4107102246387
0.5,110.67,1479.9735661750758,19.0,1496.803270682323
0.53,111.33,1392.743273983934,20.0,1564.5844334777175
0.5,107.67,1441.861158886805,22.67,1539.897401892303
0.49,103.33,1644.35235098802,23.33,1468.1128217748728
0.49,100.0,1573.5863794559411,23.0,1495.176613022236
0.5,102.67,1518.4874491869816,21.67,1672.1304886711998
0.51,102.0,1470.9097001405553,23.0,1564.3951224011962
0.51,105.33,1381.468317130766,18.33,1567.6248379662063
0.51,106.33,1521.1824552730557,17.67,1624.2796742966148
0.51,111.67,1526.7412474138057,16.67,1378.8427520907032
0.48,114.0,1561.2915333070018,20.67,1383.7413280057103
0.5,110.0,1462.2592876418494,25.33,1374.6309711018546
0.51,110.33,1650.2058851210436,23.33,1574.4621839951178
0.49,117.0,1514.7392353101447,18.67,1508.664015082526
0.49,114.33,1379.424136151527,18.67,1476.838940774877
0.54,116.0,1446.2222613832398,20.33,1565.6087251611857
0.53,117.67,1558.4658817668744,22.0,1515.392351237009
0.51,113.0,1447.5143912324506,24.0,1579.050251569816
0.51,113.33,1529.4180784680198,22.33,1677.4375516906016
0.54,122.67,1506.7550085419375,30.0,1398.229738890192
0.5,114.33,1572.0325299922183,25.0,1567.103224461946
0.54,119.67,1630.7228942595257,26.67,1652.635539123943
0.54,117.67,1590.129191243055,28.67,1372.3790869880645
0.51,110.33,1436.4354515592115,28.0,1689.1852218843012
0.49,108.33,1372.197088566659,25.0,1368.2523747790058
0.46,106.0,1518.587791138518,26.67,1517.6704082743202
0.47,114.33,1639.453308384034,25.0,1468.6378839646982
0.46,117.33,1368.9275740223425,24.5,1476.650271450845
0.5,117.0,1510.6921050270782,23.67,1496.605321436862
0.48,117.0,1643.9051249994347,27.0,1516.9512135516557
0.47,117.0,1378.1466713599868,26.0,1701.6299805185513
0.48,120.33,1556.5829207282002,24.33,1527.3195735259562
0.48,114.33,1532.4305529157916,27.67,1525.56609438576
0.49,119.0,1515.0425429141833,28.0,1650.8952213199743
0.48,112.0,1566.8939731578669,27.0,1358.2707398718728
